t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.59998423539954,0.111899978377844,0.0434707677867886,-0.010619358472654
8,NaN,NaN,NaN,0.0259563758221989
10,NaN,0.262708407801533,NaN,NaN
15,NaN,NaN,NaN,-0.0205134197992697
25,0.531787728926531,0.215397224031996,0.0937413097667556,0.00132078354548929
35,NaN,NaN,NaN,0.00422904550035854
40,NaN,0.166801176690346,NaN,NaN
45,NaN,NaN,NaN,0.000497959840048171
50,0.475372651821374,NaN,0.0935673659557878,NaN
55,NaN,0.117473104845836,NaN,NaN
60,NaN,NaN,NaN,0.00690055054764275
75,NaN,0.107200031609161,NaN,0.24162448784039
80,0.481419403540245,NaN,0.116768453087769,NaN
95,NaN,0.0153625117879813,NaN,0.262785010937861
100,0.408036167819871,-0.0330426919782175,0.0979904435428303,0.289975666759194
150,0.586698350298541,-0.0183285686739416,0.121033001729773,NaN
200,0.375731616025016,NaN,0.0891131163140542,NaN
250,0.644398058661153,NaN,0.14891423161947,NaN
300,0.665622564212977,NaN,0.114967377363768,NaN
350,NaN,NaN,0.161944507245231,NaN
450,NaN,NaN,0.153738553945836,NaN
