t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.604040191389647,0.211408145822451,0.0248434328175117,0.0903612920661398
10,NaN,0.17982612527872,NaN,NaN
20,0.593043595439972,NaN,0.00387837052602198,NaN
25,NaN,0.131301215917137,NaN,0.140707586661549
35,NaN,0.186175881154447,NaN,NaN
45,0.696495502197099,NaN,0.0258886521957793,NaN
50,NaN,0.178790088951597,NaN,0.177758563157196
65,NaN,0.0554984307743799,NaN,NaN
70,0.558637305900082,NaN,0.116473913055467,NaN
75,NaN,NaN,NaN,0.128020702733387
85,NaN,0.0534436324646303,NaN,NaN
95,0.320600331652832,NaN,0.093213613629121,NaN
100,0.35395478369332,0.0359425374393473,0.108768352107896,0.216943291529492
150,0.568211916989553,0.0460344101104183,0.0952963275424959,0.256304649734588
200,0.458810748508471,NaN,0.106872177461709,0.182758774272605
250,0.480464173423789,NaN,0.0973115926965317,NaN
300,0.378932453449685,NaN,0.085026674572769,0.351462037972982
350,0.33995883707684,NaN,0.0749212259231855,0.407184117986444
400,NaN,NaN,0.0326409435448833,NaN
450,0.208247692540209,NaN,NaN,0.44136954854421
