t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.566837678402402,0.261166364132747,0.00128163045283931,0.0996235014980386
6,1.0191306690681,NaN,NaN,NaN
7.5,NaN,NaN,0.0147016669111648,0.122165593526544
9.5,NaN,0.140287621234676,NaN,NaN
10,0.619806613718119,NaN,NaN,NaN
15,NaN,NaN,0.0169837333663496,0.104160449050444
20,0.588139269119264,0.160137291063738,NaN,NaN
25,0.415551090578584,NaN,0.0266002390448659,0.114878912520219
30,NaN,0.135690331652838,NaN,0.0455863156847783
35,0.664841063356212,NaN,0.0210812591057813,NaN
40,NaN,NaN,NaN,0.107787065128751
45,0.576723683037602,0.13964126870068,0.0180698913186842,NaN
50,NaN,NaN,NaN,0.0831221978417005
60,NaN,0.297886914785461,0.0261807571246669,NaN
65,NaN,NaN,NaN,0.0365897821435867
75,NaN,NaN,NaN,0.0948823164147585
80,NaN,0.212951830164761,NaN,NaN
95,NaN,NaN,NaN,0.0892566438440667
100,NaN,NaN,NaN,0.0953955121893587
