t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.773450030769767,0.196336323011215,-0.00706419429862882,0.0976248999349479
9.5,NaN,0.161087200374514,NaN,NaN
10,NaN,NaN,NaN,0.0693110983642523
15,0.581400189435194,NaN,NaN,NaN
20,NaN,0.219704357298033,-0.00706854560198402,0.142213364567334
25,0.591509953709809,NaN,NaN,NaN
30,NaN,0.210773910271611,NaN,NaN
35,NaN,NaN,NaN,0.122657462128719
40,0.385906806821104,0.239737109218121,0.0019656641221628,NaN
45,NaN,NaN,NaN,0.0934083266434825
50,NaN,0.185588941683832,NaN,NaN
55,0.546594627729437,NaN,NaN,NaN
60,NaN,NaN,-0.0111324217698205,0.109010244732149
65,NaN,0.00141190572373721,NaN,NaN
70,0.560388966625952,NaN,NaN,NaN
75,NaN,NaN,NaN,0.150996045006329
80,NaN,0.0538108654502341,NaN,NaN
85,NaN,NaN,0.130517544258966,NaN
90,0.535165744113641,NaN,NaN,0.0893089213355674
95,NaN,0.0396240442091661,NaN,NaN
100,0.580197581033473,0.0846216824481498,0.134747515190784,0.0646178307971343
150,0.639905279623963,0.0833981972915916,0.0926857329963722,0.106511710350385
200,0.603255466811671,NaN,0.108344902876328,0.0767137518300769
250,NaN,NaN,0.106249741431031,NaN
300,NaN,NaN,0.08939950838411,NaN
350,NaN,NaN,0.121222511149125,NaN
450,NaN,NaN,0.116492831639853,NaN
