t,pAC_Obs,RII_C_2_Obs,RIIp_C_2_Obs,Rp_cAMPS_Obs,RIIp_Rp8_Br_cAMPS_C_2_Obs,RIIp_Rp_cAMPS_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.0863019505675817,0.825567327459866,0.314326016899794,-0.383075498780093,0.0900254196407434,0.21687227115831,0.118849555064407,-0.0811020054399284
10,NaN,0.395960092946761,0.233171799612443,0.0556936044274252,NaN,-0.0360613637575026,0.128109958825772,-0.11067374341039
15,-0.053096948573329,NaN,NaN,NaN,0.175214011381665,NaN,NaN,NaN
20,NaN,0.640379407160453,NaN,NaN,NaN,NaN,NaN,NaN
25,0.398931420300294,NaN,0.242436209436389,-0.0400615373171306,-0.425872122499983,0.10375592495473,0.0925144891264418,-0.0097043056641325
35,NaN,0.756359686342663,0.220214877539976,-0.177685927568033,NaN,-0.172661983168358,NaN,-0.698259281853644
40,-0.188379854815059,NaN,NaN,NaN,-0.296963712323909,NaN,0.0996624113840934,NaN
45,NaN,0.603113801357741,NaN,NaN,NaN,NaN,NaN,0.153202442229177
50,-0.167450846487254,NaN,0.211388567524937,0.133612974107258,-0.0497781985683226,0.0692045976589728,0.0988981351977692,NaN
60,NaN,0.28665202717759,NaN,0.198267216947547,NaN,NaN,NaN,-0.152779605427294
65,0.0909152328388224,NaN,0.187600876567985,NaN,0.204252964896881,-0.0613032529329492,0.110252407462477,NaN
70,NaN,0.653305086789248,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,-0.165770271024708,NaN,NaN,NaN,-0.272751980620929
80,NaN,NaN,0.194896209810811,NaN,NaN,-0.0908842171890136,0.106114124588956,NaN
85,-0.136397087248369,0.551414033210538,NaN,NaN,-0.0747065474040674,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0127380270035209,NaN,NaN,NaN,0.123718023930003
95,NaN,NaN,0.189507963435342,NaN,NaN,0.094104209699166,NaN,NaN
100,-0.183645763156341,0.858905258928977,0.207708244387055,-0.20033079845716,-0.476054170500786,-0.309206603265905,0.106946327264697,-0.161747760403403
150,0.198056852791408,0.568632222241989,0.17701548128871,0.369645663810304,0.651323218021584,0.367390365918062,0.134003995260758,0.254052120193995
200,-0.16679355196311,0.471809558472363,0.195645958137708,-0.200001380157561,-0.361011036722735,0.0719517857986391,0.121330113986335,0.182102729288947
250,-0.101257756165361,0.624427244869112,0.165434410214627,-0.338256151301277,-0.173263189709136,-0.028557537607424,0.112577529576809,0.481774506355059
300,0.310119811773937,0.80576221615523,0.248263199843015,0.0557434526970158,-0.40484027717322,0.144599111802841,0.0933154747242662,-0.359974720921681
350,-0.211082105274947,0.63158631933046,0.202642546317291,-0.00428021291519646,0.123960617125273,-0.32632165400992,0.127362843375058,0.0161864233075355
450,0.139210212392896,0.676629449699424,0.182245059202422,-0.111405317331829,-0.1293180756457,0.546333369328938,0.104391884519212,-0.0306752883797606
