t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.641057448089677,0.216436543238499,0.0639166944773497,0.12972831562165
4,NaN,NaN,0.0348396257958841,NaN
5,NaN,0.17396393574055,NaN,NaN
8.5,0.778224440892451,NaN,0.0541161049207465,NaN
9.5,NaN,NaN,NaN,0.0873995297851382
10,NaN,0.191535605048482,NaN,NaN
15,NaN,0.008196106697813,0.196051266215162,NaN
20,0.412851743704586,0.012734532864355,0.193441713968668,0.0852140486462218
25,NaN,-0.00339046213949948,0.167195799715401,NaN
30,0.590993349728521,NaN,0.179760608727475,0.11009419313654
35,NaN,0.0364231264389602,0.145396009322871,NaN
40,0.654159927495052,NaN,NaN,NaN
45,NaN,-0.00120528110330182,0.222560269062709,0.0584955676622209
55,0.370676803452146,0.00400859080358494,0.165132966677056,NaN
60,NaN,NaN,NaN,0.0959036122181375
65,NaN,-0.0131921645124022,NaN,NaN
70,0.644540066604272,NaN,NaN,NaN
75,NaN,0.0276002798450764,NaN,NaN
80,NaN,NaN,NaN,0.0677425979697552
