t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.548562981427356,0.205162083524064,0.0175279623071316,0.130808363853896
8,0.71754247980814,NaN,NaN,NaN
10,NaN,0.219875860057787,NaN,0.10506808220059
15,0.566303483952035,NaN,NaN,NaN
20,NaN,0.23986258756084,0.00071240438738686,0.117096794651164
25,0.653784909370713,NaN,NaN,NaN
30,NaN,0.184132485054104,NaN,0.0512391587406223
35,0.377771930163619,NaN,NaN,NaN
40,NaN,NaN,0.0222114071000126,NaN
45,0.547191665032348,0.177157929961205,NaN,0.114484020072689
55,0.637567894094136,0.229973599495179,NaN,NaN
60,NaN,NaN,0.0108274958980138,0.0557574224160464
70,0.526951395498965,0.0529699990919322,NaN,NaN
75,NaN,NaN,NaN,0.123241235566412
85,0.61301096734515,0.159428849268568,0.0594049746084199,NaN
95,NaN,NaN,NaN,0.0941415887103746
100,0.564928945554908,0.16962437881765,0.0541531329567037,0.103207339581705
150,0.617265838766773,0.0827788287243066,0.0571196968054253,0.0374878870530572
200,NaN,0.114238177052699,0.0896955946801141,NaN
250,NaN,NaN,0.081954408511892,NaN
300,NaN,NaN,0.0950557099306739,NaN
350,NaN,NaN,0.073606444330572,NaN
450,NaN,NaN,0.0727449338158999,NaN
