t,pAC_Obs,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs
0,0.456026486603061,0.718855623120252,0.239116933040135,0.132247856676145
9.5,NaN,NaN,0.234584626321774,NaN
10,NaN,0.543832073436422,NaN,0.105804878757898
15,-0.0454341731814623,NaN,NaN,NaN
20,NaN,0.556350863210494,0.198952675962387,NaN
25,-0.0626578506961731,NaN,NaN,0.119612395184505
30,NaN,0.605209377431962,0.163027907540096,NaN
35,NaN,NaN,NaN,0.0445812388260523
40,0.419832271207363,NaN,0.214483242287635,NaN
45,NaN,0.4742287218304,NaN,NaN
50,NaN,NaN,NaN,0.10344660179751
55,0.434563083461293,0.602734108554604,0.142811721390456,NaN
65,NaN,NaN,NaN,0.10286852977336
70,0.12518894143699,0.863275341439814,0.0561401735364823,NaN
85,NaN,0.43031098125012,NaN,0.101471873612915
90,0.13268084302016,NaN,0.0253278244701757,NaN
100,0.356116573390433,0.439190356565324,NaN,0.0494172350157491
150,0.347201478995062,0.705342217235045,NaN,0.0901615054466711
200,-0.215135809080359,0.602298158128678,NaN,0.0467491621328387
