t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.711664302973074,0.108444750029733,-0.0103033162217284,0.0855443951329387
10,NaN,0.185698339308571,NaN,NaN
20,0.475882778990179,NaN,0.0126456089370249,NaN
25,NaN,0.188273631096047,NaN,0.193196081337974
35,NaN,0.162155454070088,NaN,NaN
40,NaN,NaN,-0.0147330368317759,NaN
45,0.385574728047836,NaN,NaN,NaN
50,NaN,0.179487771434342,NaN,NaN
55,NaN,NaN,NaN,0.126507148623057
60,NaN,NaN,-0.0189991014903106,NaN
65,NaN,0.0823040457899734,NaN,NaN
70,0.794262796224807,NaN,NaN,NaN
85,NaN,0.0167399010401235,0.1020109670517,0.172339503364346
95,0.460940473342593,NaN,NaN,NaN
100,0.329735091784913,0.0644287359517009,0.115919459597867,0.0336422252604903
150,0.743943877280933,0.0738526192089301,0.100279629208499,0.151125213953284
200,0.482095781570721,NaN,0.138845105395857,0.193784449046038
250,0.77220934410334,NaN,0.0881377501609937,0.247905159068656
300,0.809044720066402,NaN,NaN,NaN
350,0.577084777700061,NaN,0.0947379759346261,0.297055683464097
450,0.440886646293814,NaN,NaN,0.228186039916151
