t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.426274446330583,0.158821648071393,0.0691952446789669,0.383508232630774
20,0.563219045370506,0.152750206494024,0.121326922396399,NaN
25,NaN,NaN,NaN,0.149091438068477
40,NaN,0.158869927509958,0.195996640874379,NaN
45,0.515275376852358,NaN,NaN,NaN
50,NaN,NaN,NaN,-0.456656230554511
65,NaN,0.156938162571913,0.197767769848347,NaN
70,0.359365551546886,NaN,NaN,NaN
75,NaN,NaN,NaN,0.138070426482816
85,NaN,0.189856984587427,NaN,NaN
90,NaN,NaN,0.227366033791866,NaN
95,0.472443273001891,NaN,NaN,NaN
100,0.435724846779338,0.190426766883375,0.143155304964602,-0.257163551253452
150,0.405405291577322,0.175172691622809,0.294410986389034,0.0537831332834903
200,0.42274538796243,0.120823956376424,0.37348758211027,0.341102568495278
250,0.570811182261427,0.130499271868553,0.390545096421775,NaN
300,0.486142707879231,0.0978952693972437,0.437968974536436,-0.135101161748036
350,0.582448078903453,0.0718804914612143,0.504051384318926,0.0522733860333188
450,0.238624330553884,0.18673141727455,0.526601146297014,-0.132606239988938
