t,geneA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.908795579614046,19.2823832379109,9.75964873615876
30,NaN,19.1801205697393,176.332177349141
50,2.11178638713885,NaN,NaN
55,NaN,NaN,165.414317160889
65,NaN,23.7787585183352,NaN
85,NaN,NaN,118.357936556333
100,3.6282583264614,23.9478645539247,110.945814189318
150,4.25427962561495,22.6265056792981,78.7748920623797
200,3.37033882105316,22.7686210870429,22.3818473015364
250,NaN,21.0716784549765,20.8388387682096
300,2.01076199141035,6.66113871206727,17.2169993058697
350,2.79160442020908,22.2632575632393,13.5655885144295
400,NaN,23.6695678114793,NaN
450,1.30016410591079,NaN,0.917328590164225
500,2.01649751518605,18.5262079589735,23.9764625128648
650,0.850661982066072,NaN,NaN
750,1.31370123244626,NaN,NaN
900,1.29711425058728,NaN,NaN
