t,geneA_Obs,geneI_Obs,Compound_2_Obs
0,1.17765876980032,1.21906668896118,8.6410260410647
30,NaN,NaN,101.502430708791
55,2.15864093920742,NaN,NaN
60,NaN,NaN,88.6388694317992
80,NaN,1.23061554690893,NaN
95,NaN,NaN,64.3121936365841
100,2.85492795103436,NaN,NaN
150,3.31212538907468,2.04411674832076,45.808908479588
200,NaN,NaN,13.6859882025326
250,2.95252774059831,1.64870860569911,15.8348582006184
300,2.54462869200556,NaN,0.709739796228404
350,NaN,1.52514068488623,NaN
400,1.51205953423573,NaN,5.46185779118973
450,NaN,1.67418170724853,-1.76988070163827
500,1.20352212137207,NaN,NaN
550,NaN,1.38467320097175,2.98729870586316
600,1.47180238136472,NaN,NaN
650,NaN,1.63864643272259,NaN
750,1.11961312776945,NaN,NaN
800,NaN,1.35063432243749,NaN
900,0.763627870856877,NaN,NaN
1000,0.625209783375579,1.38415491737556,NaN
1500,NaN,0.89036677110845,NaN
