t,ppS3_ppS3_ppS3_Obs,geneA_Obs,Compound_2_Obs
0,0.19393474295495,1.1200081320198,4.82434102851351
10,NaN,NaN,3.55943914785092
15,0.151888466611733,0.808260592195802,NaN
20,NaN,NaN,4.31183912151636
25,-0.0631690977189606,NaN,NaN
30,NaN,0.9131094269043,NaN
35,NaN,NaN,3.78390342149101
40,-0.176571429882875,NaN,NaN
45,NaN,1.00358644792357,NaN
50,NaN,NaN,4.27614038912383
60,-0.225927991139644,NaN,3.32002336731945
65,NaN,0.78876652916061,NaN
75,0.0367673079723969,NaN,NaN
80,NaN,NaN,4.97467513506901
85,NaN,0.907136699034345,NaN
95,NaN,NaN,3.88800246257531
100,-0.0995065975242166,1.15815442831506,NaN
