t,ppS3_ppS3_ppS3_Obs,geneA_Obs,Compound_2_Obs
0,-0.317223545649022,1.23206063615957,3.72768718638501
9.5,-0.104873320257935,NaN,NaN
10,NaN,1.39404442856938,3.70022568438332
20,0.123330589127271,0.913711497788426,NaN
25,NaN,NaN,4.86201283051587
30,-0.160387107239854,NaN,NaN
35,NaN,1.14524488518825,4.47533706534294
45,-0.0464355521724455,NaN,NaN
50,NaN,1.16782621399181,4.33302309467854
60,0.0394450812168434,NaN,NaN
65,NaN,0.698073843354807,NaN
70,NaN,NaN,3.44145343001935
75,0.0841529538893987,NaN,NaN
85,NaN,0.792067127627557,NaN
90,NaN,NaN,3.44835586395228
