t,geneA_Obs,geneI_Obs,Compound_2_Obs
0,0.969745300891596,1.09366819023047,-0.197443083858084
35,NaN,NaN,39.7723708193171
50,2.5872440618571,NaN,NaN
70,NaN,NaN,35.2130377054023
80,NaN,1.24508037571909,NaN
100,3.7849843353227,NaN,28.7468017647411
150,4.80055144193771,0.846864349688513,24.6190306366801
200,4.34149496415137,NaN,19.5248965464516
250,NaN,0.953687957453855,10.5817879554755
300,3.05318264661511,NaN,4.84091075643332
350,2.64777624083831,1.34174465171261,4.62904337672543
450,2.3627880125679,1.53717276213304,6.54507375347349
550,1.46367803226834,NaN,2.8173781276795
600,NaN,1.18686521416581,NaN
650,1.51913340288549,NaN,5.44553373067347
750,NaN,1.03775426090163,NaN
800,1.31197927357647,NaN,NaN
900,NaN,1.07473710789293,NaN
950,1.40865165431349,NaN,NaN
1000,NaN,1.16497066313825,NaN
1500,NaN,1.30450263574673,NaN
