t,ppS3_ppS3_ppS3_Obs,geneA_Obs,Compound_2_Obs
0,0.274398792077741,1.18775353541493,4.66480589552395
9,NaN,NaN,3.45534977992311
10,NaN,0.992260695604901,NaN
15,-0.180165599566033,NaN,NaN
20,NaN,NaN,2.09457331339965
25,NaN,1.18117162201532,NaN
30,0.0228081820470278,NaN,4.13216031780857
40,NaN,0.919075396683705,4.15404459050977
45,-0.0168915931424052,NaN,NaN
55,NaN,1.33337326801052,4.15463777615665
60,0.188046848509617,NaN,NaN
70,NaN,0.87492070520133,3.61041946886039
80,-0.229001523556122,NaN,NaN
90,NaN,1.34574804236221,NaN
100,0.245301478277423,NaN,NaN
