t,geneA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.622078640218275,17.583391606994,4.71704917344162
35,NaN,NaN,92.6264273114603
50,3.276376220513,30.7519953254015,NaN
70,NaN,NaN,78.4189574611946
100,3.55068367717471,29.6980583153077,63.2843548462728
150,4.85324926370312,22.9105068860453,32.7627845467967
200,4.33762575625841,17.6161253801255,21.0583256884638
250,4.18658228340231,17.5666950138329,4.26918032963658
300,NaN,NaN,6.39988881602265
350,3.10743217391973,21.1795282422106,-7.85807470217097
400,2.66537567009276,17.6790129717463,1.40252022169115
500,2.36655418393587,19.7304089342281,-0.0610506075816617
600,1.41032833436402,18.6386606028364,3.67230982568242
700,NaN,15.500578728928,0.00805411533293166
750,1.01599847833529,NaN,NaN
800,NaN,20.6427248780627,NaN
900,1.02442207877736,NaN,NaN
950,NaN,18.5220379374692,NaN
