t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,Compound_3_Obs,Compound_4_Obs
0,48.1606870354096,-0.000150251814517961,0.000508594222025061,125.555930935948,415.737668542345
6.5,10.2471079166138,NaN,NaN,-551.324089136108,NaN
8,NaN,NaN,NaN,NaN,-812.00666269012
9.5,NaN,NaN,0.000269919902564833,NaN,NaN
15,5.98818682125961,0.00164387443067624,NaN,-4.77431775267627,1602.57133601306
20,6.91570045409102,NaN,0.00211578746523292,149.153510091446,NaN
25,7.47020548359647,0.00357364956261248,NaN,494.602413661878,3407.20378910391
30,NaN,NaN,0.00405126585107411,NaN,NaN
35,15.3098653489572,NaN,NaN,1556.2273109028,6066.74919730643
40,NaN,0.00471842682771208,0.00446887013620393,2442.87716879324,NaN
45,22.913816233672,NaN,NaN,NaN,8053.55391203
50,NaN,NaN,NaN,4704.03364553731,NaN
55,27.9462874665695,0.00414528626438283,0.00424465632076552,NaN,9441.85252591009
60,NaN,NaN,NaN,5992.8236949021,NaN
65,27.583293369379,NaN,NaN,NaN,NaN
70,NaN,NaN,0.00316078513903147,NaN,8385.08828592019
75,NaN,0.00297078453388752,NaN,8113.53604373525,NaN
80,31.8353146022975,NaN,NaN,NaN,NaN
85,NaN,NaN,0.00243901772003318,8361.91595159696,8792.68238597723
95,33.9681384681274,0.00269943604391613,NaN,NaN,NaN
100,41.179446021547,0.00198723430123612,0.00179537905593471,8963.98887455058,7715.36013685955
150,38.8487818867933,0.000887604341826766,0.00117400794956741,5951.57061020708,3998.01817103405
200,NaN,0.000446836403347259,NaN,NaN,3234.97728375836
