t,STAT5_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,47.1548397064302,50.0248345228985,88.7667148455777,-2.79274226884466
15,1.82374493275066,NaN,49.8611290848564,NaN
20,NaN,37.8565186202468,NaN,50.8741412654844
25,NaN,NaN,44.8211766571795,NaN
30,0.904137727185396,NaN,NaN,NaN
35,NaN,NaN,NaN,59.0496451209722
40,NaN,32.1108278585726,48.7885306027755,NaN
45,4.86795484686576,NaN,NaN,NaN
55,NaN,NaN,45.7529981009815,50.0523288547167
60,NaN,29.3771845045568,NaN,NaN
65,13.0808058668295,NaN,NaN,NaN
75,NaN,NaN,51.4103127392443,40.4350279213121
80,13.1582690894962,36.9586493828793,NaN,NaN
95,NaN,NaN,50.177542434394,NaN
100,15.6333850183006,38.1937880750489,58.64353894323,39.6054492464354
150,20.1339229587949,33.3918307472209,52.5129929349641,34.671128758029
200,22.3364357369633,42.1276475582508,62.9803541225062,34.5541974226647
250,22.1824664688057,38.9606477200538,58.3990343650914,34.7277217793266
300,24.6148259427482,36.1872653297829,70.1007132899636,25.7074640929805
350,NaN,40.4294753835835,NaN,29.0649306074677
