t,epo_level,Compound_3_Obs
29,2.5e-09,40.8504866535854
29,2.5e-09,40.9694574826973
29,2.5e-09,161.817351724949
29,2.5e-08,285.076025166791
29,2.5e-08,291.091513123154
29,2.5e-08,408.560839558308
29,1.25e-07,908.305512790652
29,1.25e-07,1021.17510634402
29,1.25e-07,1096.85589043666
29,2.5e-07,1188.72455289912
29,2.5e-07,1205.20296510915
29,2.5e-07,1331.29568184532
29,1.25e-06,1379.2212768702
29,1.25e-06,1431.84688725025
29,1.25e-06,1484.51339731099
29,2.5e-06,1331.52993076444
29,2.5e-06,1366.2973972251
29,2.5e-06,1603.72506473508
