t,STAT5_Obs,Compound_3_Obs,Compound_4_Obs
0,48.8407191410832,67.1875147817291,31.5543502926874
10,NaN,24.6949799425223,90.3783051002049
15,50.0706582061292,NaN,NaN
20,NaN,111.224889710523,NaN
25,NaN,NaN,177.532774081507
30,43.7445802122458,124.087495545034,NaN
35,NaN,NaN,352.215415711734
45,48.6601457225437,206.779728076358,NaN
50,NaN,NaN,450.324066075336
55,NaN,289.212472132102,NaN
65,50.288057581938,NaN,618.85372063173
70,NaN,385.459207707516,NaN
80,52.0479129568597,NaN,NaN
85,NaN,539.877290144725,846.376210911441
100,44.7181791780509,751.745969663681,851.857839995937
150,39.5502470715885,777.602604268498,948.255908074649
200,40.093460656577,744.920479213497,723.106940939048
250,43.1619858980058,558.742943425584,619.771779695018
300,51.2208400671275,600.329949436894,733.360312438108
