t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,Compound_3_Obs,Compound_4_Obs
0,50.3405799043745,0.000306654459024733,0.000412609369620808,447.205250094417,518.646218276293
6.5,4.57840341142515,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,1361.19951988001
8.5,NaN,NaN,NaN,1032.27255132484,NaN
10,NaN,0.000764019399844288,0.000550545166307016,NaN,NaN
15,4.06489607020939,NaN,NaN,-203.405065723897,1947.17154438199
20,8.8886664557049,0.0033580008550209,0.00274909554187341,NaN,NaN
25,NaN,NaN,NaN,878.387952491032,4166.72788454321
30,7.49070912342155,NaN,NaN,NaN,4762.38376509401
35,12.7008303147815,0.00453007629271388,0.00454682124586478,1688.40477802073,NaN
40,NaN,NaN,NaN,NaN,6665.59929194888
45,17.3235405690393,0.00461604589434845,0.00487901574937395,3256.38828559376,NaN
50,NaN,NaN,NaN,NaN,9523.39640452566
55,17.7220315970431,NaN,NaN,5040.83748453666,NaN
60,NaN,0.00418940857434397,0.00424998604314417,NaN,9405.5710542432
65,23.9730183736217,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,8039.0703533729,NaN
75,NaN,0.00342563093809364,NaN,NaN,8580.39026398154
80,30.0189307575563,NaN,0.0030752108579267,NaN,NaN
85,NaN,NaN,NaN,9287.44859791868,NaN
90,NaN,0.00281809332337445,NaN,NaN,10043.6639404141
95,33.5445534802643,NaN,NaN,NaN,NaN
100,38.3399622900349,0.00244543330035448,0.00242846735327107,8883.75503787884,9127.78854223188
150,35.1415361272743,0.00154021261342526,0.000801474446123688,6249.32092124988,5221.85682109682
200,NaN,0.00101936228727998,0.00133109848626296,3491.03396114167,4293.80098216149
