t,STAT5_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,51.8471520757613,-28.2904876436911,0.000101064823564544,0.000170118994168948,235.319570629681,262.586081940392,-215.557751872414,414.275855300014
15,NaN,NaN,NaN,NaN,0.68498261332735,NaN,NaN,NaN
20,9.12210751655145,-127.90507599028,NaN,NaN,NaN,NaN,632.209165913575,2617.84461898886
30,NaN,NaN,NaN,NaN,NaN,2593.61028383138,NaN,NaN
35,NaN,NaN,NaN,0.0046443679823261,3182.22017201495,NaN,2063.21057083352,NaN
40,NaN,430.381508223384,0.004813161712543,NaN,NaN,NaN,NaN,7073.60485445904
45,19.3681211923783,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,4989.45802720195,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,5112.08211339962,NaN
60,NaN,1340.34859288242,NaN,NaN,NaN,8638.68260374982,NaN,NaN
65,23.8204220669032,NaN,NaN,NaN,NaN,NaN,NaN,9784.45944024954
70,NaN,NaN,NaN,NaN,6180.33065115161,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00364658285589213,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,8723.80172963616,NaN
85,NaN,2667.07857884687,0.00292022466613527,NaN,NaN,NaN,NaN,NaN
90,31.325424956929,NaN,NaN,NaN,6591.13247861838,9962.26149526446,NaN,9097.18573747755
100,34.1929346404786,2944.75760914436,NaN,0.00236951540974231,6402.80903396854,NaN,9669.31433541774,8833.24551311248
150,39.6100438174408,2226.77890162477,0.00125856561299594,0.00156910433960316,4421.23170229118,5300.66361734955,7199.05707551667,5459.99204019229
200,43.4578868041721,1507.08359914501,0.00140578140276834,0.00125959643800328,2484.84965483251,4461.76020788444,3549.32839175688,3727.49427672933
250,46.8436957131374,924.34862204148,0.00140212998491445,0.0012137772875987,2504.23874560782,3054.22497500447,3392.95256005695,4312.11224824662
300,NaN,NaN,0.00133651245326813,NaN,2245.00984087667,NaN,3840.03622610975,4358.93496947933
350,36.6010422421779,1119.11259687369,NaN,0.00122574039487571,NaN,3104.89565983718,3800.44785134613,NaN
400,39.8791959877657,NaN,0.00137734592129751,0.00131990468315262,NaN,3602.94993651871,NaN,2941.90171639808
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4660.52055103879
500,NaN,NaN,0.00138646138382762,0.0011733475574056,NaN,NaN,NaN,NaN
