t,epo_level,STAT5_Obs
7,2.5e-09,47.725539843085
7,2.5e-09,48.0317450989924
7,2.5e-09,50.0627519147925
7,7.905e-09,47.5526978060693
7,1.25e-08,45.8517669282235
7,1.75e-08,40.51482423047
7,1.75e-08,41.8235386469443
7,1.75e-08,42.5386429727949
7,2.5e-08,37.2578938670809
7,3.95e-08,28.4156470204985
7,7.9e-08,9.04409761271514
7,1.25e-07,2.1601191429956
7,1.25e-07,2.2186007352577
7,1.25e-07,3.93651385993229
7,1.7675e-07,-0.176043236224238
7,1.7675e-07,0.261820459204648
7,1.7675e-07,1.2196971628056
7,2.5e-07,-2.24267277373597
7,2.5e-07,1.94319048195331
7,2.5e-07,3.1134365354888
7,7.905e-07,-1.98351188610892
7,7.905e-07,-1.63685004566812
7,7.905e-07,3.28150853226821
7,2.5e-06,2.74563414455906
