t,STAT5_Obs,Compound_3_Obs,Compound_4_Obs
0,46.5200191252705,130.888517744893,142.945758859267
10,NaN,87.4046994734121,196.406213103729
15,50.4207218021175,NaN,NaN
25,53.4301830905352,171.147785246262,279.373868941727
35,NaN,102.248291093536,NaN
40,41.9014694821622,NaN,336.163294318548
45,NaN,238.519349459484,NaN
50,NaN,NaN,601.578247738843
55,48.0326423511923,NaN,NaN
60,NaN,298.328768314373,NaN
70,49.5721253927336,NaN,709.945448745159
75,NaN,493.345822694683,NaN
85,NaN,NaN,888.726100095055
90,50.0221628440432,NaN,NaN
95,NaN,708.313464762838,NaN
100,49.7242000920956,680.931071731543,1022.21312201686
150,44.7897342757231,792.380901474533,790.515671114868
200,38.7679301561449,737.823362605657,769.665486031763
250,49.3316297838691,647.919768514902,677.053167905239
300,46.7711082260493,586.607628010169,637.38927406372
