t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,Compound_3_Obs,Compound_4_Obs
0,49.503048516812,0.000230107424865713,-0.000218487312152362,108.291199749216,604.577076052529
5.5,NaN,NaN,NaN,-17.2620252426287,NaN
6.5,9.27191890335247,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,-177.720636956567
9.5,NaN,NaN,0.000383551379193289,NaN,NaN
10,NaN,0.000222625021783019,NaN,-187.026096796267,NaN
15,6.64296584060011,NaN,NaN,NaN,1473.25639152765
20,7.00841842629353,NaN,0.00251163770114404,518.399665936849,NaN
25,NaN,0.00364712512404678,NaN,424.164250336253,3241.01371291029
30,9.73612744069264,NaN,0.00378769488270889,1335.23290835052,NaN
35,14.640507043056,0.00448473040415415,NaN,NaN,5940.40256761048
40,NaN,NaN,0.00434360168759848,2568.8665020662,NaN
45,15.8212038185164,NaN,NaN,3609.41793689053,7423.90948746167
50,NaN,0.00385502780069987,NaN,NaN,NaN
55,23.4168318661471,NaN,0.00404943742487478,5182.99491282093,9142.27549516147
65,NaN,0.00352782705218067,NaN,7082.01144962304,NaN
70,28.7713877465147,NaN,0.00357780826172375,NaN,8753.83598015852
80,NaN,0.00277968938748299,NaN,8333.91799920537,NaN
85,34.0443496547763,NaN,NaN,NaN,8226.96480141045
90,NaN,NaN,0.0022940889437742,NaN,NaN
95,NaN,NaN,NaN,8285.90419549657,NaN
100,38.7933120814121,0.00175872328681689,0.00208443413807341,9328.34240932896,7498.50678619625
150,43.5437090543769,0.00101088503601977,0.000811018630640912,5678.91034734709,4248.87805281209
200,NaN,0.00136427409043687,NaN,NaN,1848.20932197169
