t,Epo_Obs,Epo_EpoR_i_Obs
0,1493.84861460774,24.4950076776073
15,1004.38390383903,NaN
25,813.933577255794,242.278045748354
40,824.114592955589,NaN
50,NaN,302.497008053405
55,718.88294700988,NaN
70,688.944159812862,NaN
75,NaN,296.294363552694
85,647.494141893783,NaN
100,621.119191549967,264.704516017148
150,265.424589560215,211.86494649753
200,202.414781856443,150.235728217998
250,25.3124196363396,129.572257079391
300,NaN,33.2331113104835
350,NaN,44.1340503457843
400,NaN,14.7115265550364
500,NaN,-7.66274569253171
