t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.816149842056685,0.887440226638116,0.835471301181324,138.888301373761,230.308945323571,0.208283971715087
9,NaN,0.8087688095286,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.963347081163554,NaN,NaN,NaN
10,1.06743975346652,NaN,NaN,131.184128536288,202.938791534064,-0.205525674764327
20,0.846390476958745,0.794934924537355,0.828539148052795,NaN,216.554255086785,0.118761045565647
25,NaN,NaN,NaN,154.013147212398,NaN,NaN
30,NaN,1.24414971195941,1.37470316415921,NaN,NaN,NaN
35,1.09916291272471,NaN,NaN,NaN,201.645608485372,-0.299363963720697
40,NaN,1.01767062732735,0.958220362707816,130.707628108834,NaN,NaN
45,0.850629591659233,NaN,NaN,NaN,198.130298449647,-0.122747100187774
50,NaN,1.30207615551657,NaN,NaN,NaN,NaN
55,NaN,NaN,0.694098961003315,149.686026133342,NaN,NaN
60,0.802796331978079,NaN,NaN,NaN,NaN,0.382972266202103
65,NaN,0.953306844526682,NaN,NaN,178.499392813904,NaN
70,NaN,NaN,1.01857417563125,114.930205977561,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,-0.294734821648982
80,0.90377512716741,NaN,NaN,NaN,194.729169930081,NaN
90,NaN,NaN,NaN,206.679061394658,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,0.405822257538051
