t,TGFb_Obs,geneF_Obs
0,1.00450436475018,1.60642661922785
30,0.489151351957735,4.46128978345181
55,NaN,3.86898713090072
60,0.384514422324189,NaN
85,NaN,4.63916163244096
90,0.25248333178353,NaN
100,0.178446667390081,3.99006590082076
150,0.0713379134005995,4.23188828632457
200,0.010044280827774,2.99283194185282
250,0.000411624047338671,2.33643917267713
300,-0.0157491978812999,1.19091493748064
350,NaN,1.31487686130834
400,-0.0263828825830374,NaN
450,0.00861788832902705,1.69869054974789
500,NaN,-0.252107493668337
600,NaN,0.890643614815996
