t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.643259533524116,1.23583872193636,0.96631952578922,199.497251252267,84.8173373424163,0.0281290741169737
9.5,0.980360591420311,NaN,NaN,NaN,NaN,NaN
10,NaN,0.946677772976432,NaN,NaN,64.9321451808557,0.00743426205589811
15,NaN,NaN,0.978405147614598,297.842755348467,NaN,NaN
20,0.764761744826306,NaN,NaN,NaN,72.6374014354109,-0.12290061033049
25,NaN,0.966115497039811,0.935607571820127,317.361473805257,NaN,NaN
30,0.869848777288919,NaN,NaN,NaN,NaN,NaN
35,NaN,1.22991657996443,NaN,NaN,85.3021184026651,-0.0257038755310695
40,NaN,NaN,1.08066658382907,212.720769088837,NaN,NaN
45,1.11115310138173,NaN,NaN,NaN,67.1123644160078,0.139409947688298
50,NaN,0.74226860028983,NaN,NaN,NaN,NaN
55,1.29192427834662,NaN,1.18769363230091,NaN,NaN,NaN
60,NaN,NaN,NaN,311.805428292052,61.6643817808918,0.184549529624991
70,0.973984289913518,0.71038942235557,NaN,NaN,NaN,NaN
75,NaN,NaN,1.06086819851584,NaN,69.6251193844458,0.153239817911375
80,NaN,NaN,NaN,309.346576984958,NaN,NaN
85,NaN,0.96182395937485,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,-0.111234566551531
100,NaN,NaN,0.900560732337163,288.57339487877,NaN,NaN
