t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.15461876421093,1.45649265606735,1.41285740710431,282.08612899277,89.0594132343535,-2.8942484863566
30,NaN,NaN,NaN,NaN,106.683636691785,70.2786805206363
40,NaN,NaN,7.02859870804874,NaN,NaN,NaN
45,NaN,NaN,NaN,260.261394818117,NaN,NaN
50,NaN,3.37474627166126,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,105.212087372451,NaN
65,NaN,NaN,NaN,NaN,NaN,64.3919956445264
80,0.962095239187906,NaN,7.03786695364605,NaN,NaN,NaN
95,NaN,NaN,NaN,222.591399468396,85.0303016446346,NaN
100,NaN,1.41302845252713,6.14278242228039,NaN,NaN,42.367631208435
150,0.669828716592322,1.87871076428775,4.39095186639083,257.127171843328,86.879754614801,11.7702892250244
200,NaN,2.05883965624309,3.62632453147032,360.154824072546,47.8343948878691,0.678979877191024
250,0.570108095375619,NaN,1.87631304886999,268.343069397739,63.47085953613,1.92693964524407
300,NaN,1.31176881245396,0.917400462808803,NaN,81.9965456252534,3.84157725881539
350,0.962408716001953,2.65052866878044,NaN,272.036871306048,NaN,NaN
400,NaN,1.49835912617726,2.09690895002913,NaN,NaN,NaN
450,0.836796939180269,NaN,1.49563195762876,299.490326630562,NaN,NaN
500,NaN,1.01238315967495,NaN,NaN,NaN,NaN
550,1.09159426503016,NaN,0.957732672896274,318.419558162282,NaN,NaN
600,NaN,1.53121117432593,NaN,NaN,NaN,NaN
650,0.751715881678537,NaN,0.494271931105549,NaN,NaN,NaN
700,NaN,1.43646900691154,NaN,322.802934912643,NaN,NaN
750,NaN,NaN,0.328299360331782,NaN,NaN,NaN
800,0.95807420147886,NaN,NaN,NaN,NaN,NaN
850,NaN,1.74100527379611,NaN,NaN,NaN,NaN
1000,1.28982308146667,1.59555058604082,NaN,NaN,NaN,NaN
1500,1.16126052518019,NaN,NaN,NaN,NaN,NaN
