t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.993409889028423,0.860969463819144,1.17091828538692,138.73697981567,62.4174894892163,0.386360441717855
10,1.05878074246079,NaN,1.05741940213031,181.255720515778,NaN,0.0936930519794462
15,NaN,1.0549211397755,NaN,NaN,53.5020957775454,NaN
20,NaN,NaN,0.894769129004414,155.946838940502,NaN,NaN
25,1.28285235835156,NaN,NaN,NaN,94.294259821585,-0.231526969640592
30,NaN,0.917292259969204,NaN,NaN,NaN,NaN
35,0.848247042779659,NaN,1.05570846880096,156.785278149744,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,-0.10266976766589
45,NaN,1.2557039067415,1.17427330081875,NaN,86.8684115296223,NaN
50,0.997494920103978,NaN,NaN,167.070751726575,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.0553069390052226
60,NaN,NaN,NaN,NaN,63.6612762691867,NaN
65,NaN,1.30538010229628,1.14118747776553,123.95484038474,NaN,NaN
70,1.07527163623953,NaN,NaN,NaN,NaN,-0.0882935695513918
80,NaN,NaN,0.781562709929467,NaN,67.2348231659579,NaN
85,NaN,NaN,NaN,165.721781482969,NaN,NaN
90,0.80335618662473,1.25017666056068,NaN,NaN,NaN,0.0337042407482697
100,NaN,NaN,NaN,NaN,95.7392860847456,NaN
