t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.02053763392572,1.63638594549929,-2.19681813448834,145.492415978662,83.9667961274771,0.875051547681368
30,NaN,NaN,40.7360081722148,NaN,69.9906622634632,40.4800667677365
35,NaN,32.2946335443741,NaN,137.706899861782,NaN,NaN
50,0.614865444601493,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,43.62441871877,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,51.3141448649951,36.3014787299904
75,NaN,22.0930971983446,NaN,98.6665496134507,NaN,NaN
95,NaN,NaN,29.8798186679633,NaN,74.7886127039509,NaN
100,0.429957445761579,19.5709111176124,NaN,94.6076457462697,NaN,24.9501865505058
150,0.491263330878045,9.27351646341163,14.787418144357,187.640861685082,70.1510214816986,14.3258565283991
200,0.268655975247552,5.60541977094048,10.9887851101695,157.134658122787,67.4472448736523,5.56207995286986
250,NaN,1.85736744738644,7.85506427346893,132.840901098544,91.8894275031018,3.89787571102485
300,0.64078515720144,2.19103237974161,NaN,132.711140601871,64.0087764977419,0.800860603268984
350,0.668808126800474,NaN,3.055968912104,NaN,72.9793488968316,NaN
400,NaN,2.09384348658179,3.89813311840908,141.400689389475,NaN,NaN
450,0.727761558421797,1.02871697102625,NaN,153.34727833779,67.4967198736052,NaN
500,NaN,NaN,1.45603507110579,NaN,NaN,NaN
550,0.633155880996718,2.10883060085543,NaN,NaN,NaN,NaN
600,NaN,NaN,1.51156326197174,155.954214060161,NaN,NaN
650,NaN,4.17382934974069,NaN,NaN,NaN,NaN
700,0.956303121790604,NaN,NaN,147.913337560478,NaN,NaN
750,NaN,1.35791383427073,NaN,NaN,NaN,NaN
800,0.933895513281536,NaN,NaN,NaN,NaN,NaN
