t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.649606864859299,2.32810479475475,1.27974691232005,114.951429542318,52.730745198981,2.42806912235103
30,NaN,NaN,7.32105662188312,99.2166086988795,96.0648206799518,NaN
40,0.883848773027728,2.91609740741351,NaN,NaN,NaN,36.2537274821113
60,NaN,NaN,6.81517855743986,160.295860399502,NaN,NaN
65,NaN,NaN,NaN,NaN,99.5293845024687,NaN
80,NaN,2.39290236947307,NaN,NaN,NaN,20.321682386974
85,0.634564818849289,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,6.01218334728607,114.376731497282,NaN,NaN
100,NaN,2.54537503692618,NaN,NaN,74.2218665630305,NaN
150,0.704066448132878,2.09169759957524,3.69193108356052,125.412309161699,90.6857020022025,12.4492216118071
200,0.565328489633702,1.15668176469653,3.35916761888306,174.721816833403,61.0943520391704,6.27265456834365
250,0.531243429104304,1.59072367861846,1.8208252510972,124.416289064348,76.4927344005492,0.627482388969119
300,0.976320288025328,NaN,1.10602615936834,140.134973508494,NaN,NaN
350,0.845296784830249,1.48949892288846,NaN,NaN,NaN,4.26695674810795
400,NaN,1.97956558731415,1.11640839361614,128.906278515008,NaN,NaN
450,0.879823681902226,NaN,1.32484799830328,NaN,NaN,NaN
500,NaN,1.40498506978668,NaN,NaN,NaN,NaN
550,0.856904101576614,0.957165908755419,0.837229736403238,NaN,NaN,NaN
650,0.981226827626402,1.32682558810005,NaN,NaN,NaN,NaN
800,NaN,1.08265522316068,NaN,NaN,NaN,NaN
