t,TGFb_Obs,geneF_Obs
0,0.964211142281321,1.85692842899253
25,0.598119255790408,NaN
40,NaN,3.86875299293063
50,0.293692064779774,NaN
75,0.270438101322989,NaN
80,NaN,4.28463203699839
100,0.121026390584722,4.3311707454758
150,0.0653996454715736,3.13978508512557
200,-0.0690647954004676,2.92605283132315
250,0.0308629057922355,NaN
300,0.0518661159936177,2.13701728371822
350,0.0136651553836214,1.70947926727441
400,-0.0249831540992253,NaN
450,NaN,1.18156748263076
550,NaN,0.881327590779382
650,NaN,1.17457212085428
