t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.22562585160856,2.28357106646101,1.00751803513548,145.252058898195,214.151054694097,-0.225007810542782
30,NaN,NaN,6.44116449518771,130.843485513923,NaN,16.6275664895946
35,NaN,NaN,NaN,NaN,154.6068397611,NaN
60,NaN,2.59760426606783,7.87486813381534,NaN,NaN,12.7161328232963
65,NaN,NaN,NaN,132.96543775495,169.978608818865,NaN
80,0.701466789272934,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,6.59409095714226,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,7.31471877524411
100,NaN,2.2128374219469,6.08620043129601,121.418792993463,162.722212135747,NaN
150,0.583579055695809,NaN,3.61318689066324,154.20152357107,187.10421377296,4.1220339982669
200,NaN,2.31423580885496,2.5025596516583,74.8381025350464,225.995223315741,0.745896754715217
250,0.779490001662292,2.01255043680669,0.5404231376043,NaN,288.467953285211,2.44143958514758
300,NaN,NaN,2.88283392466435,89.7531043673636,NaN,0.914065261644107
350,0.677820627551093,1.59855359741805,0.564899022330505,162.661357010257,158.391416234572,NaN
400,NaN,1.74659917213821,1.81973729126938,181.465927439443,NaN,NaN
450,1.01733995677007,NaN,0.983130185691456,NaN,NaN,NaN
500,NaN,1.29215149417975,NaN,144.196478315097,NaN,NaN
550,0.96011546549766,NaN,1.24772016559122,NaN,NaN,NaN
600,NaN,1.35630042787299,NaN,NaN,NaN,NaN
700,0.859587765279523,NaN,NaN,NaN,NaN,NaN
750,NaN,1.57644196530567,NaN,NaN,NaN,NaN
850,0.954650801019836,1.56502851939155,NaN,NaN,NaN,NaN
1000,1.04108467573095,1.64727223922059,NaN,NaN,NaN,NaN
1500,0.984544864401795,1.08517447012263,NaN,NaN,NaN,NaN
