t,geneL_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.01598427908668,1.1143557890062,0.841889784078433,135.888780109644,77.3484396080486,-0.0258212991001421
8,NaN,NaN,NaN,117.70812620101,NaN,NaN
10,0.8873348816668,0.845843665434257,1.07213461041369,NaN,85.0846157955368,-0.244879903528858
15,NaN,NaN,NaN,121.457988638732,NaN,NaN
20,NaN,NaN,0.936851808469761,NaN,NaN,0.383005266620573
25,1.09382656677437,1.11919241447618,NaN,194.744280633777,67.2962544203582,NaN
35,0.999179699045202,NaN,1.13765270480155,183.337385378616,54.6935411830748,-0.047305885155163
40,NaN,0.616739515342608,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,161.080974721103,NaN,-0.309889204099854
50,1.28920063860735,NaN,0.950655027855624,NaN,76.9515043232377,NaN
55,NaN,0.818242956879738,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,158.88874195866,NaN,-0.239487291270619
65,NaN,NaN,1.13549017799245,NaN,NaN,NaN
70,1.121748609482,0.889635759242898,NaN,NaN,87.7484395153177,NaN
75,NaN,NaN,NaN,140.752529184538,NaN,0.148559281647989
85,NaN,NaN,1.16439126889011,NaN,50.582019210437,NaN
90,1.30171562698649,1.23308250033193,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,-0.0790135257302958
