t,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs
0,0.122350598344697,0.0450317899107428,0.00462369596912986
3,0.0977123080266433,NaN,NaN
4,NaN,NaN,0.00381815800799618
5,NaN,0.0392298357472521,NaN
6.5,0.0521815392552656,NaN,NaN
8.5,NaN,NaN,0.00686931765188602
10,0.0376465062153654,0.0610681944415143,NaN
15,0.139357361009678,0.0463884387179588,0.00685678874053633
20,0.0517440983926776,0.043322952012457,0.00868071117037838
25,NaN,NaN,0.00686552661242337
30,0.107105606872717,0.0559652260428328,0.00493948990941092
35,0.0867390855705119,NaN,NaN
40,0.0677299623555297,0.0317356762130356,0.00347918323238427
45,NaN,NaN,0.00416317137312253
50,0.065848392711542,0.0567574233457996,NaN
60,0.0530573478023898,0.070919057494418,NaN
