t,npSTAT_npSTAT_Obs,nSTAT3_Obs,nSTAT5_Obs
0,-0.00516169531881663,-0.00280408429558591,0.000227965685070918
5,0.0812046269049109,NaN,0.0605266549106515
5.5,NaN,0.135900309066966,NaN
10,0.0684498581256936,0.146757315582896,0.151284912099595
15,0.0732402417974751,0.141932454749484,0.146264575308369
20,0.0706248545001682,NaN,0.14282320324366
25,NaN,0.138825681030673,NaN
30,0.0655125580065518,0.126234360045453,0.133695557131818
35,0.0550020472590461,0.11669569425877,0.121847870337816
45,0.0280103643318724,0.0608039672872006,0.0665473233656529
55,NaN,0.0224216504902264,0.023990818299964
60,0.0032581420918965,NaN,NaN
65,NaN,0.00939777697242277,0.00858835320810448
70,2.18173341891977e-05,NaN,NaN
75,NaN,NaN,0.00456906470985934
80,NaN,0.000979051246252183,NaN
90,NaN,NaN,0.00315006134257696
95,NaN,0.00528986586017349,NaN
