t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs
0,0.980148357494452,6.50968304455293e-05,9.18236223801692e-06
15,0.413154420480597,NaN,NaN
35,0.476024795572575,0.00095461284234506,0.000958635371500411
50,0.486458776862667,NaN,NaN
70,0.464082672272629,0.000793320596920247,0.000800321057117154
90,0.494996609813132,NaN,NaN
100,0.485448882177449,0.000651135105991703,0.000613466738316381
150,0.526925086292739,0.000420226844442231,0.000391582202177246
200,0.602579297508798,0.000324550653582711,0.000270657675045254
250,0.52894130535941,0.000216636378270764,0.000140889632923028
300,0.690337727985611,0.000136656432020687,0.000139503052504198
350,0.670735803567677,NaN,8.74085035720482e-05
400,NaN,8.64276983337111e-05,4.81084684976235e-05
450,0.734275826865906,7.65591052486125e-05,NaN
500,NaN,NaN,5.84824588343976e-06
550,NaN,4.93256074569576e-05,NaN
600,NaN,NaN,-6.7919928439443e-06
