t,IRp_Obs,IRiP_Obs,IRS_Obs
0,5.10900422605994e-10,-6.10579807429205e-06,9.67030286661339
2.5,4.82683484243154e-07,NaN,7.2558611049139
4.5,NaN,NaN,6.05867482351952
5,4.88557643805892e-07,0.000124086924571567,NaN
7,NaN,NaN,7.41271223491775
7.5,4.20234616216228e-07,NaN,NaN
9.5,NaN,0.000115057857437761,NaN
10,3.79914813137585e-07,NaN,6.71542580563893
15,3.40085593934146e-07,0.000120499671447565,7.61615933259585
20,3.19416626061578e-07,9.99088068807686e-05,8.33056297434607
25,3.40978002080641e-07,NaN,7.92623613151044
30,3.06720326496876e-07,0.000107896284706459,8.21917628786651
35,2.95386490795023e-07,9.88015611777582e-05,NaN
40,3.22732128245775e-07,NaN,7.28468293285529
45,NaN,0.000101162817345454,NaN
50,2.6904850014125e-07,NaN,NaN
55,NaN,0.000103872845469723,NaN
70,NaN,0.000107036634771862,NaN
