t,IRp_Obs,IRiP_Obs
0,-1.8109066858238e-09,6.05854032001344e-06
1,8.80688961947318e-08,NaN
1.5,NaN,0.000131919659926724
2.5,1.74200578363241e-07,9.75380563786888e-05
3.5,2.41650008469386e-07,NaN
4,NaN,9.56089425806038e-05
5,4.42159318244935e-07,NaN
6,NaN,0.000142823378025541
6.5,4.5232582654648e-07,NaN
7.5,NaN,0.000111750602992138
8,4.46387603891513e-07,NaN
9.5,NaN,0.000121125248129203
10,3.73972350141525e-07,0.00011961095683982
15,3.77587293380549e-07,0.000113636655771615
20,3.41596811348415e-07,0.000111787957539355
