t,IRiP_Obs,IRS_Obs,XX_Obs
0,8.96451310775422e-07,3.4102219042097,13.6100026111692
0.8,NaN,NaN,3.40965209095198
1.5,NaN,NaN,0.927165095625678
2,0.000983493736831602,169.175427793842,NaN
2.5,NaN,NaN,24.5340983372252
3.5,NaN,NaN,60.4219419096556
4,0.000432491086544355,27.3788077853894,NaN
4.5,NaN,NaN,0.175133265440967
5.5,NaN,NaN,10.0106448281922
6,0.000957283162796189,NaN,NaN
6.5,NaN,8.05393887843141,NaN
7,NaN,NaN,5.45092761163095
8.5,0.0107490312761197,NaN,6.90894722355703
9,NaN,24.8223759418002,NaN
10,0.000487290102365872,6.03948968012764,16.8654307922448
15,0.00272671712106782,3.46498735399356,6.16606874651776
20,0.000208426665543424,2.70281463899128,NaN
25,NaN,15.4644505781879,NaN
30,NaN,5.24617846936475,NaN
