t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs,ApoER2_Dab1SFK_Obs
0,1.28734660125524,3.04545162571535e-08,6.88104922329485e-11
8,NaN,NaN,4.86422327818471e-11
9,NaN,2.73700808160362e-08,NaN
15,NaN,NaN,6.9091708374097e-11
20,NaN,4.03110797991544e-08,NaN
25,1.16614526678329,NaN,6.04411524109053e-11
30,NaN,3.37568951686018e-08,NaN
35,NaN,NaN,5.35797463407831e-11
40,NaN,4.05974059399891e-08,NaN
45,NaN,NaN,6.01962365137417e-11
50,1.28078212767027,NaN,NaN
55,NaN,2.61383509765833e-08,NaN
60,NaN,NaN,5.9176034186882e-11
70,NaN,2.72273542934775e-08,5.62819221661861e-11
75,0.936891536488875,NaN,NaN
90,NaN,NaN,6.29093962709958e-11
95,NaN,3.07031784937021e-08,NaN
100,0.975476539150225,NaN,7.25421074597664e-11
150,1.52260556616266,NaN,NaN
200,1.33735360011512,NaN,NaN
250,1.3198616066018,NaN,NaN
300,1.212443197677,NaN,NaN
350,1.65583391823571,NaN,NaN
450,1.54546070700219,NaN,NaN
550,1.33443994586272,NaN,NaN
