t,ApoER2_Dab1_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,ApoER2_Dab1SFK_Obs
0,0.889100227279295,9.86467152914825e-07,1.10159110270191e-08,9.67040952779265e-07,0.0634894497626082,0.000129530700956923
10,0.00488006740253331,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,1.57876031326139e-06,0.00175869388624785,0.829480023363024,4.38799489594879e-07
20,0.00289429983306178,0.00100199851961004,NaN,NaN,NaN,NaN
30,NaN,NaN,1.36606563166826e-06,0.00133506864515385,0.599135545371955,NaN
35,0.0029550389023737,NaN,NaN,NaN,NaN,3.79677100858139e-07
45,0.00314390672790529,0.000651941791762479,NaN,NaN,0.605048649760411,NaN
50,NaN,NaN,1.41844459415497e-06,0.00111631273910151,NaN,2.85847153563981e-07
60,0.00225156048413693,NaN,NaN,NaN,0.377473876724792,NaN
65,NaN,NaN,1.57441485320337e-06,NaN,NaN,NaN
70,NaN,0.000447222197198026,NaN,0.000735089424070546,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,2.52089190716736e-07
80,0.00194107246172888,NaN,NaN,NaN,0.35685271148453,NaN
85,NaN,NaN,1.52563706259356e-06,NaN,NaN,NaN
90,NaN,NaN,NaN,0.000749323209058042,NaN,NaN
95,NaN,0.000277517626648669,NaN,NaN,NaN,2.59836868119567e-07
100,0.00188755018256935,0.000292344866721145,1.21070790495914e-06,0.000525782129923408,0.34355467056149,2.20346470055728e-07
150,NaN,0.000142077928584572,1.04798419311413e-06,0.00046983324461423,0.196593158802132,NaN
200,NaN,9.2248117309281e-05,9.98850349647015e-07,0.000218579159598115,0.122567693758337,NaN
250,NaN,8.38046946911946e-05,1.27961255245183e-06,0.000200297233107521,0.114282691923631,NaN
300,NaN,7.47164698902413e-05,1.39563141151511e-06,NaN,NaN,NaN
350,NaN,6.50750940999577e-05,NaN,NaN,NaN,NaN
