t,Reelin_input,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs
19,0,1.02778079256403,8.52464892132755e-09,9.50692252383718e-07
19,0.00012207,1.13671176453646,1.21369822821082e-06,1.53337931986608e-06
19,0.00024414,1.10253179208138,1.13120128709691e-06,1.14208986956428e-06
19,0.00048828,1.11751870417044,1.0327209294887e-06,7.74594777025294e-06
19,0.00097656,0.986265911223394,1.12985182185999e-06,8.10202696339517e-05
19,0.0019531,0.707307359418606,1.37701858710189e-06,0.000451318969419874
19,0.0039062,0.584510768053739,1.32440679896798e-06,0.000817247736428162
19,0.0078125,0.242709797104022,1.14609103241733e-06,0.00142768548986731
19,0.015625,0.180104231713494,1.43127420292641e-06,0.00103546032376905
19,0.03125,0.104646134283297,2.10763961779449e-06,0.00121964534320015
19,0.125,0.0203741484399707,1.2796565357588e-06,0.00201976416898259
19,0.25,0.0127718196992677,1.60240985085774e-06,0.00123029381740525
19,0.5,0.00780742603602574,1.97174107087294e-06,0.00196515422753973
19,1,0.00369004107703009,1.391301589814e-06,0.00143770128552004
