t,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFKInh_Obs
0,1.019704393433,0.0100925605489387,0
20,0.856221842138707,NaN,0.00249177929008795
30,NaN,0.36572223202926,NaN
40,NaN,NaN,0.00468819945520386
45,0.378815814731317,NaN,NaN
55,NaN,0.860898241453855,NaN
65,NaN,NaN,0.00470358141055935
70,0.263058165693538,NaN,NaN
85,NaN,1.39984804625215,0.00577466708681688
95,0.174516875932226,NaN,NaN
100,NaN,0.832069933416824,0.00464245073164391
150,0.0976996942318555,1.2194059383072,0.00568472833068929
200,0.0638797971270834,1.41443190287939,0.00783162775024054
250,0.0638565147104038,0.89491652343161,0.00699308201445333
300,0.055643037503421,1.2915026598841,NaN
350,0.0607162401656163,NaN,NaN
400,0.0495498916715633,1.94714488321986,NaN
450,NaN,2.07487226939081,NaN
600,NaN,1.83187893724649,NaN
