t,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs
0,1.03266427054796,1.03564255748299e-08,1.10307791498449e-06
15,NaN,1.47325628098545e-06,NaN
25,0.328319846119113,NaN,0.00110057283934547
30,NaN,1.34981162916978e-06,NaN
40,NaN,1.32326139825666e-06,NaN
50,0.197938474874861,NaN,0.000924180079767914
60,NaN,1.22951775896639e-06,NaN
75,0.238359628921311,1.27217559330999e-06,0.000799455483314933
95,NaN,1.28269443705954e-06,NaN
100,0.183412306279678,1.34955522758914e-06,0.000510626102827362
150,0.193390294466685,1.26208070663541e-06,0.000253498161797854
200,0.193770604612977,1.00458134509563e-06,0.000203218195712321
250,0.186661854964885,9.02854020517375e-07,0.000130330728211073
300,0.259296215741849,1.08674591998163e-06,NaN
350,0.273198772331877,NaN,6.57359518362555e-05
400,0.301977760762116,NaN,4.62138146244441e-05
500,0.393074641488679,NaN,NaN
600,0.319204768818874,NaN,NaN
