t,PKDDAGa_Obs,CERTERa_Obs,CERT_Obs,CERTTGNa_Obs
0,62.5856028025637,66161937.4537082,88953.4555739237,48878588.1276109
3,79.6781150594294,72751645.6558944,71379.2929852309,NaN
3.5,NaN,NaN,NaN,52602563.9576752
5.5,131.284221549436,NaN,71822.4405022956,NaN
6,NaN,108531944.793043,NaN,NaN
7,NaN,NaN,NaN,52326176.2297869
8.5,174.231818484455,NaN,99206.2946852102,NaN
9,NaN,250962757.520483,NaN,NaN
10,107.392382968719,209568998.324528,126283.088343424,50728444.2659391
15,52.1836963522194,195793050.328236,223120.55388608,39892540.9515703
20,97.9831699328062,153564489.420473,91095.3223777282,162891026.835167
25,129.605678147819,365243479.168937,148634.859052848,370019843.60679
30,65.5676132435517,217454097.88972,150835.288471403,178896834.067169
35,151.114193325366,258815917.189761,288688.794597301,361300008.921024
40,74.0845422594934,NaN,309821.012283631,NaN
45,52.4312983774738,226638322.894528,235982.012765391,123436481.067148
55,85.4228360353108,300494521.703489,373388.763377484,196600376.228934
65,106.077407369609,258763375.963067,333914.99907516,327067730.418258
