t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRSiP_Obs
0,15.4313081047177,0.0184636741456405,3.22959348714256e-10,3.02728591352663e-06,0.0360975794859656
2,0.406337950190759,NaN,NaN,NaN,0.778197473823718
2.5,NaN,NaN,4.05906725530652e-07,NaN,NaN
3,NaN,9.57061417205698,NaN,0.000192759285883044,NaN
4,NaN,NaN,NaN,NaN,1.11996081316139
4.5,0.0926759550105739,NaN,NaN,NaN,NaN
5,NaN,NaN,4.30132614947301e-07,NaN,NaN
6,NaN,5.24403212324909,NaN,0.000168217193621908,0.739515107870576
6.5,0.195850305796785,NaN,NaN,NaN,NaN
7.5,NaN,NaN,3.56060173262907e-07,NaN,NaN
8.5,NaN,NaN,NaN,NaN,1.33243781141027
9,NaN,9.73176766359611,NaN,NaN,NaN
9.5,0.239644772178288,NaN,NaN,0.000130146245092862,NaN
10,0.21693301923107,NaN,3.65207691203763e-07,NaN,0.782239319989743
15,0.121167953234019,4.30745594383966,1.97944732932878e-07,0.0001715364069082,1.9579346355669
20,0.11221378955998,4.98705612721952,2.95644468498979e-07,0.000132204017810402,1.26069512586071
25,0.211099875520932,12.1939855023865,2.49940889363178e-07,7.65983185696595e-05,1.37040246044547
30,NaN,3.09678582415807,3.97734317921464e-07,0.000178922404512865,NaN
40,NaN,4.9359827899564,2.75276313362946e-07,NaN,NaN
45,NaN,6.33250265609273,5.00791662066668e-07,NaN,NaN
55,NaN,5.08823308003489,NaN,NaN,NaN
