t,PKD_Obs,CERTERa_Obs
0,162317.816361208,59960067.9089658
3,NaN,35803185.0511781
4,229894.578279818,NaN
6,NaN,28334819.7807177
7.5,279789.260143577,NaN
9.5,NaN,34509215.2627506
10,216698.617457172,NaN
15,322115.229107221,41762805.1513949
20,255248.840615274,20613143.8951473
25,167498.975595583,22223577.035782
30,NaN,15860286.0984533
35,160159.63866026,34850544.8813017
40,158456.910265175,NaN
45,NaN,23930818.6651401
50,90711.9486786798,28769805.6370671
60,16200.3894853229,18545716.557645
70,259450.364597298,8625386.14482358
