t,DecoyR_Obs,CD274mRNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.369294292296415,0,243.684765981964,146.387437236238,1122.92475958299
3.5,0.213665792869472,NaN,NaN,NaN,NaN
7,0.121654443645287,NaN,NaN,NaN,NaN
10,0.0518902832953793,NaN,153.660450440927,166.570678363284,589.854203279029
15,0.0320249522605191,8.83647790917161,NaN,NaN,NaN
20,0.013839090616129,NaN,NaN,NaN,NaN
25,0.0030754690543846,11.8580815531477,486.493223981107,250.103446081134,348.613643765157
35,0.000428169735255753,NaN,913.66845711491,NaN,387.094954899053
40,NaN,68.5373288222062,NaN,311.01430772258,NaN
50,NaN,NaN,523.032096668976,NaN,636.293944306306
55,NaN,57.9330818711313,NaN,482.844313228937,NaN
60,NaN,NaN,NaN,NaN,908.339612056825
65,NaN,NaN,869.444422698097,NaN,NaN
70,NaN,57.3602166946402,NaN,237.488502521243,NaN
80,NaN,NaN,NaN,NaN,351.54918701426
85,NaN,NaN,831.45241141933,707.175758890303,NaN
90,NaN,126.559912686072,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,824.999474353934
100,NaN,128.129807554709,752.280912066397,509.741245596041,1113.27352167709
150,NaN,273.318977552484,717.153605413975,1253.47538797195,812.644027515785
200,NaN,646.981547154798,1106.13344343222,1183.02647891319,532.974563460774
250,NaN,462.039584597668,1266.77412803629,1189.01563715947,890.557009054831
300,NaN,601.502827920298,1124.71123133525,1187.75537372132,1211.95097501547
