t,p_IL13_Rec_Obs,DecoyR_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0,0.385595151977924,465.975825097182,132.921023622426,391.088705968572
7.5,0.0258440942779218,NaN,NaN,NaN,NaN
10,NaN,NaN,780.687308123651,234.432403410618,NaN
15,0.0201679158691843,NaN,NaN,NaN,598.495852595019
20,NaN,0.168678925589199,NaN,NaN,NaN
25,0.0823489983910325,NaN,486.617105760642,88.6585891283481,589.686791400328
30,0.0199303492332146,NaN,NaN,NaN,NaN
35,NaN,NaN,361.464286456826,262.273544717637,NaN
40,0.0517297355605699,0.156881245572637,NaN,NaN,477.890684502493
45,NaN,NaN,NaN,332.156627670146,NaN
50,NaN,NaN,353.702015618317,NaN,NaN
55,0.0518212553926111,NaN,NaN,NaN,NaN
60,NaN,0.0395677897560966,NaN,166.786664042769,285.620672819724
65,0.0472693160157349,NaN,394.993450168009,NaN,NaN
75,NaN,NaN,NaN,282.374092288642,785.156366709316
80,0.0310108816847304,NaN,NaN,NaN,NaN
85,NaN,0.0110753825634449,751.126958413371,NaN,NaN
95,0.0294838846352832,NaN,NaN,237.735755216613,527.01331086762
100,0.0609909734257741,0.00882537970252571,611.635036488875,423.974288959322,324.62360480404
150,NaN,0.000619309470156156,971.938751544913,551.210967084624,756.266147989462
200,NaN,0.000255116607576961,886.163799317045,426.173300803467,829.160681201112
250,NaN,NaN,464.943843055043,573.249588413886,1564.22480589097
300,NaN,8.91900452168667e-05,1133.79247807664,370.245411846051,1227.34697479258
