t,Rec_Obs,Compound_2_Obs,Compound_3_Obs
0,1.3536360421767,213.641685733354,860.347967890965
3,NaN,282.418309898278,333.077038445276
4,1.69727152051092,NaN,NaN
6,NaN,241.622490607944,NaN
6.5,NaN,NaN,525.079995698685
8,4.29089482939326,NaN,NaN
9.5,NaN,164.623157486756,860.967204602617
15,3.40324645764202,96.241073002236,450.64712945365
20,4.77268486315858,208.715602230367,466.934885780287
25,2.66129184285113,197.025087887488,254.393273324461
30,7.78001548555076,282.637135692984,NaN
35,NaN,159.046207292869,613.601022765169
40,NaN,NaN,345.665836886772
45,NaN,154.417254879219,312.907465016214
50,NaN,114.055513639794,NaN
55,NaN,NaN,493.064261334512
60,NaN,223.02840843884,NaN
