t,Csub_H89_Obs,AC_Fsk_Obs
0,0.108657427697071,-0.103078555306544
20,-0.0663718059261601,NaN
25,NaN,0.0407430441227592
45,-0.317419371261659,NaN
50,NaN,0.0128684908060033
65,-0.231404344238404,NaN
75,NaN,0.000375375029323903
95,0.0985434900736072,NaN
100,0.0524514884030437,-0.230040173682157
150,0.0547739863907271,0.0396952238880503
200,-0.062497880085212,-0.0306534790140104
250,0.0387267676283135,NaN
300,0.0105060162736786,0.0118458303066045
350,-0.315547804426401,0.0162597880668558
450,0.0203998672052143,0.00287048594743478
