t,cAMP_Obs,Csub_H89_Obs
0,0.307245387435762,-0.0497060439086299
7,0.245798243192608,NaN
15,0.332616111533622,NaN
20,NaN,0.0419424693608666
25,0.143139799758682,NaN
30,0.114430556856418,NaN
40,0.216524149144043,NaN
45,NaN,0.112615740186795
55,0.146599146886597,NaN
65,4.88803315309877,NaN
70,NaN,0.088359488728844
80,4.8451944358884,NaN
95,NaN,0.247852768645976
100,5.14083217449072,0.245684874383552
150,NaN,0.263962853232346
200,NaN,0.36066067335674
250,NaN,0.397412832375664
300,NaN,0.383189201879288
350,NaN,0.442132667017162
400,NaN,0.521093686270909
