t,cAMP_Obs,AC_Fsk_Obs
0,0.0774390816533459,0.0109728579708454
3,0.162589789867307,NaN
6,1.74735688843525,NaN
9,-0.495377302106396,NaN
10,NaN,0.00224922918282355
15,12.8745356105918,NaN
20,12.2098935706634,NaN
25,11.8051054558705,0.357798000184604
30,13.3337824809335,NaN
35,13.7452350878218,0.337525726636218
45,14.0502880017714,NaN
50,12.5780171068614,0.409315747210584
60,11.0357247228313,NaN
65,NaN,0.334228408200218
80,NaN,0.322772359463347
100,NaN,0.361775137124571
150,NaN,0.417336135505243
200,NaN,0.276446414411168
