t,AC_Fsk_Obs,Sp8_Br_cAMPS_Obs
0,0.226032230964457,-0.31440153124213
4,NaN,0.675895109846744
7.5,NaN,-0.778396022692283
10,NaN,-0.00761092617436501
15,NaN,4.76633976109679
20,-0.107480651064339,7.08583022555904
25,NaN,8.12295357163046
30,NaN,8.38836765221902
40,0.00829353907140962,9.9654762251482
45,NaN,10.38709211178
55,NaN,8.86065084832705
60,0.283996449633395,NaN
65,NaN,10.2603752703383
75,NaN,9.7386334525795
80,-0.184473009556725,NaN
100,-0.0930239889010839,NaN
150,-0.13155157493258,NaN
200,-0.111838077749561,NaN
250,-0.149506201613985,NaN
300,0.0698541490262713,NaN
