t,cAMP_Obs,AC_Fsk_Obs
0,-8.61751167399441,-0.0669559545435675
8,-5.77820366014773,NaN
10,NaN,0.0542004215709798
15,80.3600245934271,NaN
20,NaN,0.278898756603569
25,88.2620168615672,NaN
30,NaN,0.307215997307386
35,75.4984674984696,NaN
40,NaN,0.377322292832188
45,57.5990849262541,NaN
55,74.6816928402746,0.371895722885513
65,NaN,0.326142780129305
70,80.2703652887942,NaN
80,NaN,0.307313599069209
85,79.2448119130459,NaN
100,76.2861613343998,0.316821144400969
150,64.000750875441,0.393825361033447
200,73.213480488138,0.302155567315588
