t,cAMP_Obs,Csub_H89_Obs
0,0.632108141891592,0.0315542558712038
8,0.250994626132573,NaN
15,0.266280027566676,NaN
25,0.0327178662554429,0.0284967274661147
35,-0.061772168723306,NaN
45,0.394089759545098,NaN
50,NaN,0.0550785877427356
60,0.0155944707651586,NaN
75,4.81666933471915,0.0706003381666562
90,4.3801439099852,NaN
100,5.11079875198991,0.0810904862776895
150,5.19536684182111,0.109247899472289
200,NaN,0.200428070168836
250,NaN,0.220913326781166
300,NaN,0.280188225256634
350,NaN,0.332093724080539
450,NaN,0.344040872283592
