t,cAMP_Obs,Csub_H89_Obs
0,0.242706208067954,-0.00959980447620072
7,-0.00378592100676352,NaN
15,0.279405015102098,NaN
20,-0.224182215405684,NaN
25,NaN,0.00421603250612757
30,0.431856677365733,NaN
40,-0.119115863283491,NaN
50,0.293288719460918,NaN
55,NaN,0.00869360531993533
65,5.00268200384891,NaN
80,4.84036178693027,0.0382755288478004
95,5.50254082008765,NaN
100,5.09445942743681,0.0466446309279082
150,NaN,0.0792132305216094
200,NaN,0.100634845658697
250,NaN,0.114433001918255
300,NaN,0.148849935497243
350,NaN,0.147527820406582
450,NaN,0.198920054639388
