t,p_IL13_Rec_i_Obs,Compound_1_Obs,Compound_3_Obs
0,-0.0140357127767001,230.033537868928,0.66622442792307
10,1.36430245472714,153.69472501143,52.1841953562767
20,NaN,392.671470949324,NaN
25,1.68850730551474,NaN,86.8108019058332
35,1.72947549030568,855.313605691008,89.2901336552825
45,NaN,1094.81959906772,NaN
50,1.65039572579963,NaN,89.2231670387778
60,NaN,1221.24113856163,NaN
65,1.69067358600338,NaN,90.0494392797891
75,NaN,1746.90746374476,NaN
80,1.64783453152773,NaN,81.7087799435082
90,NaN,2057.380527162,NaN
95,1.61895760629923,NaN,NaN
100,1.60190437027461,2294.59293234264,82.3208618805659
150,1.4773232800642,3331.27199242977,74.7546255948864
200,1.38666309021618,4319.77871108497,68.7641829376905
250,1.31059470386401,5032.48176231616,65.3371487377527
300,1.0998516131722,5986.94530637116,58.1567757804931
