t,p_IL13_Rec_i_Obs,STAT5_Obs,Compound_2_Obs,Compound_3_Obs
0,0.00613737765822384,159.349562280633,158.624681455417,1.51616282974682
10,0.186311973477309,NaN,150.932806844347,16.0271207636768
15,NaN,133.913181365925,NaN,NaN
25,0.263934857266867,101.809697930486,144.311050745893,55.0678731814709
35,0.252518851005365,NaN,151.310880882142,NaN
40,NaN,99.6050413742875,NaN,65.9147424225118
50,0.260780829157097,NaN,159.012875531514,NaN
55,NaN,98.1899951822373,NaN,67.7688892075317
65,0.253465787580927,NaN,190.905702204114,NaN
70,NaN,96.0437735530941,NaN,67.2996737249046
80,0.26272802644511,NaN,220.636127237732,NaN
85,NaN,NaN,NaN,61.9426875154779
90,NaN,104.111828815541,NaN,NaN
100,0.251457532399317,111.081683849365,263.272563616263,55.0714434540958
150,0.235392057275993,116.996645929932,333.091460521012,47.883470811774
200,0.245084514551545,126.339406695353,404.775250332731,40.3134337605116
250,0.249158520539599,133.028589435991,469.638277933906,33.6631225749013
300,0.226326576390921,139.232317627179,528.335678671321,29.0577632607732
