t,Rec_Obs,Rec_i_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,STAT5_Obs,DecoyR_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.34065767564419,181.04214539116,0.0688931337315943,2.76540685629838,164.073454961305,0.338300265189921,162.65615800113,170.142093452348,0.637572207203858
3.5,NaN,NaN,NaN,NaN,NaN,0.146479634038104,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.0566507819751083,NaN,NaN,NaN
10,NaN,NaN,0.705305764166589,0.493756313347335,120.958101028533,0.0294048321946194,106.942640576265,NaN,NaN
15,0.815749035736994,185.603112986295,NaN,NaN,NaN,0.0076678500708057,NaN,104.982106873329,56.0697647817398
20,NaN,NaN,NaN,0.42893672055158,NaN,0.00569454382471348,471.421562708219,NaN,NaN
25,NaN,171.628792143995,0.89969944304738,NaN,84.0072338653185,0.00136294981142628,NaN,130.088033163384,79.6218163053865
30,0.805010870896595,NaN,NaN,0.505892612849483,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.869234578462881,NaN,77.842921786756,0.00340786380695394,718.817604379327,NaN,NaN
40,NaN,174.562388975709,NaN,NaN,NaN,NaN,NaN,151.205340803753,85.0126947650428
45,NaN,NaN,NaN,0.733451241238967,NaN,NaN,942.738900073403,NaN,NaN
50,0.772065728146691,NaN,0.87478521926669,NaN,82.1046714582871,NaN,NaN,NaN,NaN
55,NaN,177.822239764705,NaN,0.94419064830735,NaN,NaN,NaN,195.448455318659,85.212021382751
60,NaN,NaN,0.883550539293108,NaN,NaN,NaN,1162.43287481619,NaN,NaN
65,NaN,NaN,NaN,NaN,87.9333628647504,NaN,NaN,NaN,NaN
70,0.762105730638233,161.965414884044,NaN,1.07639339660402,NaN,NaN,NaN,225.784276138378,81.5447715974684
75,NaN,NaN,NaN,NaN,NaN,NaN,1672.25016436629,NaN,NaN
80,NaN,NaN,0.883213628278412,NaN,91.2769389347845,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,1.1626101249628,NaN,NaN,NaN,NaN,NaN
90,0.725733295082815,174.309271987492,NaN,NaN,NaN,NaN,1945.16608909167,263.665690812666,77.4112999857087
95,NaN,NaN,0.824722345028417,NaN,85.3775551846979,NaN,NaN,NaN,NaN
100,0.743756234691685,174.455309291665,0.833007770565157,1.31530586683907,96.6871272353235,NaN,2202.80046602059,296.010830846016,74.5968166768213
150,0.727175760017821,159.866855596872,0.841646567081642,1.70658185385701,108.011049906568,NaN,2990.59236059349,405.899512497017,64.6733701270247
200,0.727799398892654,162.377942403793,0.81425625216214,1.82958871227757,100.770825286373,NaN,3864.90357720656,479.874219210563,60.8561286485178
250,0.655002664534672,154.594412859032,0.732412521626891,NaN,107.377551888676,NaN,4736.4683056036,597.424402873717,56.1981535536482
300,0.693141465808341,142.413070035427,0.787697470112594,NaN,111.941352187554,NaN,5271.73464008972,672.040880172285,55.15167683901
